Company,Ticker,Sector,PE Ratio,52 Week High,52 Week Low,Avg Volume,Market Cap
Brookfield Infrastructure Partners L.P.,BIP,Utilities,690.875,36.5,25.72,635101,12818466816
Brookfield Infrastructure Corporation,BIPC,Utilities,,45.29,29.3,696277,4130098176
Safeplus International Holdings Limited,BIPH,,,20.8,15.4,14650,
,BIPI,,,20.83,15.2,25898,
Brookfield Infrastructure Finance ULC,BIPJ,,,26.29,21.16,15916,
Birkenstock Holding plc,BIRK,Consumer Cyclical,34.87121,64.78,40.559,1848822,8645768192
BlackRock Multi-Sector Income Trust,BIT,Financial Services,11.139098,15.5,12.5,191642,547957056
"BJ's Wholesale Club Holdings, Inc.",BJ,Consumer Defensive,28.53,121.1,73.01,1992916,15026979840
The Bank of New York Mellon Corporation,BK,Financial Services,12.123165,90.34,56.08,4455873,53167476736
Brookdale Senior Living Inc.,BKD,Healthcare,,8.12,4.45,3165336,1182116096
"The Buckle, Inc.",BKE,Consumer Cyclical,8.6221075,54.25,33.12,606337,1715876224
Black Hills Corporation,BKH,Utilities,15.29156,65.59,51.66,502027,4310051840
"Bakkt Holdings, Inc.",BKKT,Technology,,37.21,5.573,470395,59512912
BlackRock Investment Quality Municipal Trust Inc.,BKN,Financial Services,49.476192,13.16,10.22,56695,178768272
BlackSky Technology Inc.,BKSY,Technology,,21.92,3.86,1590608,205377872
"BlackRock Income Trust, Inc.",BKT,Financial Services,81,12.67,11.06,75226,241629328
"BankUnited, Inc.",BKU,Financial Services,9.931818,44.45,26.69,841336,2301652736
BKV Corporation,BKV,Energy,,26.78,15,487908,1446819456
Bausch + Lomb Corporation,BLCO,Healthcare,,21.69,10.46,739873,4264004864
TopBuild Corp.,BLD,Industrials,13.634303,495.68,266.26,359391,8090420224
"Builders FirstSource, Inc.",BLDR,Industrials,12.599381,203.14,110.84,1751440,12983809024
BlackRock Municipal Income Trust II,BLE,Financial Services,40.125,11.41,9.56,103629,459611968
"BlackRock, Inc.",BLK,Financial Services,20.77624,1084.22,748.02,961419,1.32567E+11
"Blend Labs, Inc.",BLND,Technology,,5.525,2.08,3436426,785477568
BlackRock Limited Duration Income Trust,BLW,Financial Services,10.587302,14.63,12.48,128245,504913664
"Banco Latinoamericano de Comercio Exterior, S. A.",BLX,Financial Services,6.644643,42.88,27.37,132245,1368985600
Banco Macro S.A.,BMA,Financial Services,12.99343,118.42,42.23,367878,5702683648
BlackRock Health Sciences Trust,BME,Financial Services,21.76687,42.64,34.18,42467,458547072
BlackRock Health Sciences Term Trust,BMEZ,,64.71381,16.75,12.58,380649,1376045312
"Badger Meter, Inc.",BMI,Technology,44.229076,239.11,162.17,263885,5905709056
Blackrock 2037 Municipal Target Term Trust,BMN,Financial Services,36.46154,26.14,23.04,12614,145699312
Bank of Montreal,BMO,Financial Services,12.139474,106,76.98,677450,67126902784
Bristol-Myers Squibb Company,BMY,Healthcare,,63.33,39.35,12922085,98930024448
Brookfield Corporation,BN,Financial Services,154.54839,62.78,38.89,3240796,71794573312
"Barnes & Noble Education, Inc.",BNED,Consumer Cyclical,,135,6.05,349055,314657120
NASDAQ DM Ex US Industrials Ind,BNH,,,19.91,14.5,24347,
,BNJ,,,18.23,14.5,16444,
"Broadstone Net Lease, Inc.",BNL,Real Estate,18.447674,19.15,13.96,1412508,3136462848
The Bank of Nova Scotia,BNS,Financial Services,13.6210375,57.07,43.68,1960022,58869972992
Brookfield Wealth Solutions Ltd.,BNT,Financial Services,5.5120835,62.72,38.93,17904,9640306688
BlackRock New York Municipal Income Trust,BNY,Financial Services,Infinity,11.1,9.55,50973,234659376
Boston Omaha Corporation,BOC,Industrials,,16.29,12.41,134057,466611200
